NR	Model	Year	Next Inspection
YB819	KIA - SORENTO	08.12.2005	01.09.2018
EDL15	SKODA - OCTAVIA 	25.04.2012	01.05.2018
AKU57	NISSAN - JUKE 	15.02.2011	01.07.2019
MGA72	KIA - PICANTO	28.04.2017	01.02.2021
ZP367	SKODA - OCTAVIA 	26.07.2006	01.07.2018
NA900	TOYOTA - RAV4	15.05.2002	01.10.2018
ZO622	TOYOTA - COROLLA 	16.05.2006	01.02.2018
DO491	SUZUKI - GRAND VITARA	26.01.2007	01.01.2018
PH148	CITROEN - C3	30.04.2007	01.08.2018
LVD17	HONDA - CIVIC 5DR (Blár)	30.06.2017	01.07.2021
PAR60	NISSAN - QASHQAI+2 (Dökkblár)	14.08.2012	01.10.2018
AYT56	MAZDA - 3 (Grár)	13.01.2012	01.06.2018
UI895	TOYOTA - YARIS (Gulur)	31.05.2006	01.05.2018
KSL69	JEEP - GRAND CHEROKEE	11.07.2014	01.09.2018
NAM35	TOYOTA - RAV4 (Ljósbrúnn)	09.07.2015	01.05.2019
LY691	PORSCHE - 996 (Grár)	21.03.2003	01.01.2018
IUA05	HYUNDAI - I10 (Grár)	12.04.2016	01.05.2020
NA637			
LSV36			
VYE32			
LBJ31			
LP149			
MP642			
FVJ45			
YS867			
OJ895			
PPF47			
PX784			
NPT56			
UKR98			
